# Variant ID	Location	Variant type	Gene	Molecular consequences	Most 
rs761448939	943995	single nucleotide variant	NOC2L and 5 more	,missense variant,nonsense (stop gained),500B downstream variant,	pathogenic				
rs1558112968	212872765	single nucleotide variant	FLVCR1 and 1 more	,nonsense (stop gained),nc transcript variant,3 prime UTR variant,,	pathogenic				
rs372728084	212883404	single nucleotide variant	FLVCR1 and 2 more	,missense variant,nc transcript variant,	pathogenic			T=2.1287e-05	
rs556788423	212883443	single nucleotide variant	FLVCR1 and 1 more	intron variant,,	pathogenic			A=0.000229328	
rs1057520666	212885292	single nucleotide variant	FLVCR1 and 1 more	splice acceptor variant,	pathogenic				
rs1558118957	212885369	single nucleotide variant	FLVCR1 and 1 more	,nonsense (stop gained),nc transcript variant,	pathogenic				
rs1308191949	212885394	single nucleotide variant	FLVCR1 and 2 more	,nonsense (stop gained),nc transcript variant,synonymous variant,	pathogenic				
rs1315527384	212887892	single nucleotide variant	FLVCR1 and 1 more	,nonsense (stop gained),nc transcript variant,intron variant,	pathogenic				
rs1558121050	212889209	single nucleotide variant	FLVCR1 and 3 more	,missense variant,nc transcript variant,	pathogenic				
rs1665130400	212889214	single nucleotide variant	FLVCR1 and 1 more	,missense variant,nc transcript variant,	pathogenic				
rs538343832	212895006	single nucleotide variant	FLVCR1 and 3 more	,missense variant,nonsense (stop gained),nc transcript variant,synonymous variant,	pathogenic	T=0.000199681		T=3.30327e-05	
rs780752648	212895007	single nucleotide variant	FLVCR1 and 2 more	,missense variant,nc transcript variant,	pathogenic			A=2.4775e-05	
rs971817654	214369682	single nucleotide variant	PTPN14 and 1 more	,nonsense (stop gained)	pathogenic				
rs199800194	214619179	single nucleotide variant	CENPF and 3 more	,missense variant,nonsense (stop gained),synonymous variant	pathogenic			T=2.51017e-05	
rs376767238	214620653	single nucleotide variant	CENPF and 1 more	splice acceptor variant	pathogenic			C=1.70248e-05	25564561
rs749388407	214630561	single nucleotide variant	CENPF and 2 more	,missense variant,nonsense (stop gained)	pathogenic				
rs1657782821	214630663	single nucleotide variant	CENPF and 2 more	splice donor variant	pathogenic				
rs367624766	214640082	single nucleotide variant	CENPF and 2 more	,missense variant,nonsense (stop gained)	pathogenic				25564561,26820108
rs200976140	214641072	single nucleotide variant	CENPF and 1 more	,nonsense (stop gained)	pathogenic			T=8.72174e-05	8261651,26820108
rs375722599	214642041	single nucleotide variant	CENPF and 1 more	,nonsense (stop gained)	pathogenic			T=8.47458e-06	
rs375014198	214644569	single nucleotide variant	CENPF and 2 more	,nonsense (stop gained),synonymous variant	pathogenic			T=8.0047e-05	
rs376076886	214646789	single nucleotide variant	CENPF and 1 more	,nonsense (stop gained)	pathogenic			T=5.02336e-05	
rs2528427978	214648744	single nucleotide variant	CENPF and 1 more	,nonsense (stop gained)	pathogenic				
rs786205697	214657139	single nucleotide variant	CENPF and 1 more	,nonsense (stop gained)	pathogenic				25564561
rs2102419503	214657233	single nucleotide variant	CENPF and 1 more	,nonsense (stop gained)	pathogenic				
rs2464577479	215586516	single nucleotide variant	KCTD3 and 1 more	,nonsense (stop gained),5 prime UTR variant	pathogenic				
rs111033419	215628837	single nucleotide variant	USH2A and 2 more	,missense variant,	pathogenic			C=4.11841e-05	24033266
rs2464752503	215628894	single nucleotide variant	USH2A and 1 more	,nonsense (stop gained),	pathogenic				
rs763463859	215628921	single nucleotide variant	USH2A and 1 more	,nonsense (stop gained),	pathogenic				
rs1192363193	215628942	single nucleotide variant	USH2A and 3 more	,missense variant,nonsense (stop gained),	pathogenic				
rs2102630468	215634509	single nucleotide variant	USH2A and 1 more	,nonsense (stop gained),	pathogenic				
rs527236122	215634523	single nucleotide variant	USH2A and 2 more	,missense variant,	pathogenic			C=7.41326e-05	23967202,25741868
rs1426135314	215634548	single nucleotide variant	USH2A and 2 more	,missense variant,nonsense (stop gained),	pathogenic				
rs1448248120	215634566	single nucleotide variant	USH2A and 2 more	,missense variant,nonsense (stop gained),	pathogenic				
rs752377040	215634578	single nucleotide variant	USH2A and 1 more	,missense variant,	pathogenic			G=3.29457e-05	
rs2102630641	215634630	single nucleotide variant	USH2A and 1 more	,nonsense (stop gained),	pathogenic				
rs2102630643	215634631	single nucleotide variant	USH2A and 2 more	,missense variant,nonsense (stop gained),	pathogenic				
rs969737676	215634638	single nucleotide variant	USH2A and 2 more	,missense variant,nonsense (stop gained),	pathogenic				
rs758660532	215634667	single nucleotide variant	USH2A and 2 more	,missense variant,nonsense (stop gained),	pathogenic				
rs1052194170	215634705	single nucleotide variant	USH2A and 2 more	splice acceptor variant,	pathogenic				
rs757676723	215639190	single nucleotide variant	USH2A and 2 more	,missense variant,	pathogenic			A=1.6475e-05	
rs1407860955	215639211	single nucleotide variant	USH2A and 1 more	,missense variant,	pathogenic				
rs770658506	215640561	single nucleotide variant	USH2A and 3 more	,missense variant,nonsense (stop gained),	pathogenic				
rs397517994	215640615	single nucleotide variant	USH2A and 1 more	,nonsense (stop gained),	pathogenic				18665195,22135276,24033266
rs753226272	215640621	single nucleotide variant	USH2A and 2 more	,missense variant,nonsense (stop gained),	pathogenic			T=4.1195e-05	
rs149877542	215640634	single nucleotide variant	USH2A and 2 more	,nonsense (stop gained),synonymous variant,	pathogenic			A=4.94299e-05	
rs146733615	215640723	single nucleotide variant	USH2A and 3 more	,missense variant,nonsense (stop gained),synonymous variant,	pathogenic			A=1.64785e-05	17405132,18641288,18665192,18665195,20507924,24033266,24498627
rs2464789623	215640724	single nucleotide variant	USH2A and 2 more	,nonsense (stop gained),	pathogenic				
rs2464789668	215640735	single nucleotide variant	USH2A and 2 more	splice acceptor variant,	pathogenic				
rs137853923	215640736	single nucleotide variant	USH2A and 1 more	splice acceptor variant,	pathogenic			C=8.24158e-06	
rs1235430504	215647517	single nucleotide variant	USH2A and 1 more	intron variant,	pathogenic				
rs1408904076	215647518	single nucleotide variant	USH2A and 1 more	intron variant,	pathogenic				
rs1553250050	215647520	single nucleotide variant	USH2A and 2 more	splice donor variant,	pathogenic				
rs1656892077	215647521	single nucleotide variant	USH2A and 1 more	splice donor variant,	pathogenic				
rs754834155	215647552	single nucleotide variant	USH2A and 2 more	,missense variant,nonsense (stop gained),	pathogenic			T=4.12154e-05	
rs1553250072	215647615	single nucleotide variant	USH2A and 1 more	,nonsense (stop gained),	pathogenic				
rs948087886	215647663	single nucleotide variant	USH2A and 2 more	,missense variant,nonsense (stop gained),	pathogenic				
rs2464812451	215647727	single nucleotide variant	USH2A and 1 more	,nonsense (stop gained),	pathogenic				
rs1558037018	215648585	single nucleotide variant	USH2A and 2 more	,missense variant,nonsense (stop gained),	pathogenic				
rs184351619	215648621	single nucleotide variant	USH2A and 1 more	,nonsense (stop gained),	pathogenic	C=0.000199681		C=2.47129e-05	
rs143344549	215648657	single nucleotide variant	USH2A and 2 more	,missense variant,	pathogenic	A=0.000199681		A=5.76739e-05	
rs2102643210	215648669	single nucleotide variant	USH2A and 2 more	,missense variant,	pathogenic				
rs770553471	215648684	single nucleotide variant	USH2A and 2 more	,missense variant,	pathogenic			A=8.23873e-06	
rs1553250184	215648686	single nucleotide variant	USH2A and 2 more	,missense variant,nonsense (stop gained),	pathogenic				
rs199851839	215648726	single nucleotide variant	USH2A and 2 more	,missense variant,	pathogenic				
rs1571929573	215648745	single nucleotide variant	USH2A and 1 more	,nonsense (stop gained),	pathogenic				
rs746837034	215648760	single nucleotide variant	USH2A and 2 more	,missense variant,nonsense (stop gained),	pathogenic			T=4.12045e-05	
rs919142559	215648767	single nucleotide variant	USH2A and 2 more	splice acceptor variant,	pathogenic				
rs763127023	215650641	single nucleotide variant	USH2A and 1 more	,missense variant,	pathogenic			G=8.24769e-06	
rs781195579	215650647	single nucleotide variant	USH2A and 2 more	,missense variant,	pathogenic			A=8.24661e-06	
rs397517990	215650648	single nucleotide variant	USH2A and 3 more	,missense variant,	pathogenic				20507924,24033266
rs1254637647	215650650	single nucleotide variant	USH2A and 2 more	,missense variant,	pathogenic				
rs727504867	215650687	single nucleotide variant	USH2A and 1 more	,nonsense (stop gained),	pathogenic				24033266
rs527236126	215650692	single nucleotide variant	USH2A and 1 more	,missense variant,	pathogenic				
rs539192853	215650716	single nucleotide variant	USH2A and 2 more	,missense variant,	pathogenic	T=0.000199681		T=4.12147e-05	
rs935176131	215650754	single nucleotide variant	USH2A and 1 more	,nonsense (stop gained),	pathogenic				
rs397517989	215650755	single nucleotide variant	USH2A and 2 more	,missense variant,nonsense (stop gained),	pathogenic				24033266
rs886042722	215650760	single nucleotide variant	USH2A and 1 more	,nonsense (stop gained),	pathogenic				
rs2464821210	215650761	single nucleotide variant	USH2A and 1 more	,nonsense (stop gained),	pathogenic				
rs2464821346	215650802	single nucleotide variant	USH2A and 1 more	splice acceptor variant,	pathogenic				
rs998302546	215653970	single nucleotide variant	USH2A and 1 more	intron variant,	pathogenic				
rs2464880278	215670971	single nucleotide variant	USH2A and 2 more	splice donor variant,	pathogenic				
rs747063294	215670974	single nucleotide variant	USH2A and 1 more	,nonsense (stop gained),	pathogenic			A=8.24497e-06	
rs2464880303	215670975	single nucleotide variant	USH2A and 1 more	,nonsense (stop gained),	pathogenic				
rs1064797129	215670976	single nucleotide variant	USH2A and 2 more	,missense variant,	pathogenic				
rs2102661156	215670981	single nucleotide variant	USH2A and 2 more	,nonsense (stop gained),synonymous variant,	pathogenic				
rs372966682	215671004	single nucleotide variant	USH2A and 2 more	,missense variant,nonsense (stop gained),	pathogenic			T=0.000107125	24033266
rs45549044	215671031	single nucleotide variant	USH2A and 1 more	,missense variant,	pathogenic	T=0.00219649		T=0.0047787	19129697,20507924,24033266
rs1657798642	215671067	single nucleotide variant	USH2A and 1 more	,nonsense (stop gained),	pathogenic				
rs1571945476	215671082	single nucleotide variant	USH2A and 1 more	,nonsense (stop gained),	pathogenic				
rs80338904	215671085	single nucleotide variant	USH2A and 3 more	,missense variant,nonsense (stop gained),synonymous variant,	pathogenic				17296898,20301515
rs1657800056	215671098	single nucleotide variant	USH2A and 1 more	,nonsense (stop gained),	pathogenic				
rs2102661344	215671112	single nucleotide variant	USH2A and 2 more	,missense variant,nonsense (stop gained),	pathogenic				
rs761367363	215671126	single nucleotide variant	USH2A and 3 more	,missense variant,	pathogenic				
rs1657805631	215671229	single nucleotide variant	USH2A and 2 more	,missense variant,nonsense (stop gained),	pathogenic				
rs1253596843	215671239	single nucleotide variant	USH2A and 2 more	,missense variant,nonsense (stop gained),	pathogenic				
rs1657805957	215671240	single nucleotide variant	USH2A and 1 more	,nonsense (stop gained),	pathogenic				
rs527236124	215671258	single nucleotide variant	USH2A and 1 more	,missense variant,	pathogenic				
rs367674026	215671283	single nucleotide variant	USH2A and 2 more	,missense variant,nonsense (stop gained),	pathogenic			A=8.259e-06	
rs199782530	215671294	single nucleotide variant	USH2A and 2 more	splice acceptor variant,	pathogenic				
rs1177257719	215674099	single nucleotide variant	USH2A and 1 more	splice donor variant,	pathogenic				
rs755099565	215674107	single nucleotide variant	USH2A and 1 more	,missense variant,	pathogenic			G=8.23886e-06	
rs1657911759	215674119	single nucleotide variant	USH2A and 2 more	,missense variant,nonsense (stop gained),	pathogenic				
rs1202573136	215674133	single nucleotide variant	USH2A and 2 more	,missense variant,nonsense (stop gained),	pathogenic				
rs751411512	215674200	single nucleotide variant	USH2A and 2 more	,missense variant,nonsense (stop gained),	pathogenic			T=8.23818e-06	24033266
rs1553252343	215674216	single nucleotide variant	USH2A and 2 more	,nonsense (stop gained),synonymous variant,	pathogenic				
rs2102664776	215674256	single nucleotide variant	USH2A and 1 more	,nonsense (stop gained),	pathogenic				
rs765476745	215674290	single nucleotide variant	USH2A and 1 more	,nonsense (stop gained),	pathogenic				
rs1657921221	215674313	single nucleotide variant	USH2A and 1 more	,nonsense (stop gained),	pathogenic				
rs1003869920	215674335	single nucleotide variant	USH2A and 3 more	,missense variant,nonsense (stop gained),synonymous variant,	pathogenic				
rs774759345	215674364	single nucleotide variant	USH2A and 3 more	,missense variant,	pathogenic			T=8.24008e-06	
rs1322092837	215674430	single nucleotide variant	USH2A and 2 more	,missense variant,	pathogenic				
rs1293619630	215674446	single nucleotide variant	USH2A and 2 more	,missense variant,	pathogenic				
rs921800139	215674481	single nucleotide variant	USH2A and 2 more	,missense variant,	pathogenic				
rs2102665279	215674494	single nucleotide variant	USH2A and 1 more	,nonsense (stop gained),	pathogenic				
rs2102665314	215674518	single nucleotide variant	USH2A and 2 more	,missense variant,nonsense (stop gained),	pathogenic				
rs1219505844	215674519	single nucleotide variant	USH2A and 2 more	,missense variant,nonsense (stop gained),	pathogenic				
rs2464895579	215674520	single nucleotide variant	USH2A and 1 more	,nonsense (stop gained),	pathogenic				
rs553833861	215674530	single nucleotide variant	USH2A and 1 more	,nonsense (stop gained),	pathogenic	A=0.000199681			
rs2102665356	215674541	single nucleotide variant	USH2A and 1 more	,nonsense (stop gained),	pathogenic				
rs141696914	215674563	single nucleotide variant	USH2A and 1 more	,missense variant,	pathogenic	A=0.000199681		A=1.65006e-05	
rs762388072	215674580	single nucleotide variant	USH2A and 2 more	,missense variant,	pathogenic			A=2.47463e-05	
rs753330544	215674595	single nucleotide variant	USH2A and 1 more	,missense variant,	pathogenic				18273898,20440071,22135276,24944099
rs111033417	215674598	single nucleotide variant	USH2A and 2 more	,missense variant,nonsense (stop gained),	pathogenic				24033266
rs1234273599	215674628	single nucleotide variant	USH2A and 2 more	,missense variant,	pathogenic				
rs201238640	215674637	single nucleotide variant	USH2A and 3 more	,missense variant,	pathogenic	A=0.000199681		A=1.64921e-05	
rs1657939866	215674639	single nucleotide variant	USH2A and 2 more	,nonsense (stop gained),synonymous variant,	pathogenic				
rs370176892	215674696	single nucleotide variant	USH2A and 2 more	,nonsense (stop gained),synonymous variant,	pathogenic				
rs2464896470	215674707	single nucleotide variant	USH2A and 1 more	,nonsense (stop gained),	pathogenic				
rs111033385	215674781	single nucleotide variant	USH2A and 3 more	,missense variant,nonsense (stop gained),	pathogenic			T=8.25546e-06	22135276,24033266,25558175
rs1349682845	215674783	single nucleotide variant	USH2A and 1 more	,nonsense (stop gained),	pathogenic				
rs763301021	215674827	single nucleotide variant	USH2A and 1 more	,missense variant,	pathogenic			A=8.25478e-06	
rs2464897177	215674841	single nucleotide variant	USH2A and 1 more	,nonsense (stop gained),	pathogenic				
rs397517985	215674889	single nucleotide variant	USH2A and 2 more	,missense variant,	pathogenic				24033266
rs527236137	215674901	single nucleotide variant	USH2A and 3 more	,missense variant,	pathogenic				17085681,20507924,24033266,24498627,24944099,25649381
rs367850936	215674911	single nucleotide variant	USH2A and 2 more	,missense variant,nonsense (stop gained),	pathogenic			T=8.24171e-06	
rs1423233510	215674919	single nucleotide variant	USH2A and 1 more	,missense variant,	pathogenic				
rs1203365063	215674924	single nucleotide variant	USH2A and 3 more	,nonsense (stop gained),synonymous variant,	pathogenic				
rs140202956	215674953	single nucleotide variant	USH2A and 2 more	,missense variant,	pathogenic	G=0.000599042		G=2.47219e-05	
rs762159022	215674957	single nucleotide variant	USH2A and 2 more	,nonsense (stop gained),synonymous variant,	pathogenic			A=8.24076e-06	
rs1064797130	215675019	single nucleotide variant	USH2A and 1 more	,missense variant,	pathogenic				
rs2102666136	215675025	single nucleotide variant	USH2A and 1 more	,nonsense (stop gained),	pathogenic				
rs397517983	215675043	single nucleotide variant	USH2A and 1 more	,nonsense (stop gained),	pathogenic				24033266
rs1657965422	215675056	single nucleotide variant	USH2A and 2 more	,missense variant,nonsense (stop gained),	pathogenic				
rs766491471	215675057	single nucleotide variant	USH2A and 2 more	,missense variant,nonsense (stop gained),	pathogenic			T=8.24185e-06	
rs1362058696	215675092	single nucleotide variant	USH2A and 2 more	,nonsense (stop gained),synonymous variant,	pathogenic				
rs1553252475	215675105	single nucleotide variant	USH2A and 3 more	,missense variant,	pathogenic				
rs1657973895	215675152	single nucleotide variant	USH2A and 1 more	,nonsense (stop gained),	pathogenic				
rs397517982	215675172	single nucleotide variant	USH2A and 1 more	,missense variant,	pathogenic				24033266
rs2102666433	215675183	single nucleotide variant	USH2A and 1 more	,nonsense (stop gained),	pathogenic				
rs397517981	215675197	single nucleotide variant	USH2A and 1 more	,nonsense (stop gained),	pathogenic				24033266
rs2464898805	215675203	single nucleotide variant	USH2A and 2 more	,nonsense (stop gained),synonymous variant,	pathogenic				
rs1657976232	215675208	single nucleotide variant	USH2A and 1 more	,nonsense (stop gained),	pathogenic				
rs745371873	215675216	single nucleotide variant	USH2A and 3 more	,missense variant,	pathogenic			C=8.25955e-06	
rs1057517844	215675220	single nucleotide variant	USH2A and 1 more	,nonsense (stop gained),	pathogenic				
rs1200661394	215675312	single nucleotide variant	USH2A and 2 more	,missense variant,nonsense (stop gained),	pathogenic				
rs769001387	215675331	single nucleotide variant	USH2A and 2 more	,missense variant,	pathogenic			T=8.30041e-06	
rs199605265	215675336	single nucleotide variant	USH2A and 3 more	,missense variant,	pathogenic	T=0.000199681		T=0.000473092	20507924,21151602,22135276,22334370,23591405,23991284,24033266,25649381
rs750396156	215675337	single nucleotide variant	USH2A and 1 more	,missense variant,	pathogenic			A=2.49021e-05	
rs147304271	215675351	single nucleotide variant	USH2A and 3 more	,missense variant,	pathogenic				24033266
rs1657987278	215675386	single nucleotide variant	USH2A and 3 more	,missense variant,nonsense (stop gained),	pathogenic				
rs2102666887	215675439	single nucleotide variant	USH2A and 1 more	,nonsense (stop gained),	pathogenic				
rs1172628170	215675463	single nucleotide variant	USH2A and 1 more	,missense variant,	pathogenic				
rs1657992030	215675493	single nucleotide variant	USH2A and 1 more	,missense variant,	pathogenic				
rs776587395	215675555	single nucleotide variant	USH2A and 1 more	,missense variant,	pathogenic			G=8.27979e-06	
rs142095945	215675579	single nucleotide variant	USH2A and 1 more	,missense variant,	pathogenic			A=9.09903e-05	24033266
rs1657997730	215675611	single nucleotide variant	USH2A and 3 more	,nonsense (stop gained),synonymous variant,	pathogenic				
rs151148854	215675618	single nucleotide variant	USH2A and 1 more	splice acceptor variant,	pathogenic				24033266
rs111033518	215675619	single nucleotide variant	USH2A and 2 more	intron variant,	pathogenic			T=8.27308e-06	24033266
rs2102671641	215680147	single nucleotide variant	USH2A and 1 more	splice donor variant,	pathogenic				
rs111033526	215680148	single nucleotide variant	USH2A and 2 more	splice donor variant,	pathogenic				24033266
rs1315543696	215680160	single nucleotide variant	USH2A and 2 more	,missense variant,	pathogenic				
rs1658178709	215680174	single nucleotide variant	USH2A and 2 more	,missense variant,	pathogenic				
rs780893919	215680175	single nucleotide variant	USH2A and 3 more	,missense variant,	pathogenic			T=1.64832e-05	
rs988693758	215680211	single nucleotide variant	USH2A and 1 more	,nonsense (stop gained),	pathogenic				
rs1430838005	215680241	single nucleotide variant	USH2A and 2 more	,missense variant,nonsense (stop gained),	pathogenic				
rs1262416703	215680292	single nucleotide variant	USH2A and 2 more	,missense variant,nonsense (stop gained),	pathogenic				
rs2464915266	215680339	single nucleotide variant	USH2A and 1 more	,missense variant,	pathogenic				
rs794729203	215680343	single nucleotide variant	USH2A and 2 more	,missense variant,nonsense (stop gained),	pathogenic				18484607,19881469,20301515
rs878853409	215680348	single nucleotide variant	USH2A and 1 more	,missense variant,	pathogenic				
rs908265742	215680349	single nucleotide variant	USH2A and 1 more	,missense variant,	pathogenic				
rs55921307	215680350	single nucleotide variant	USH2A and 2 more	,nonsense (stop gained),synonymous variant,	pathogenic	A=0.000798722		A=0.00294666	18273898,19881469,20507924,22004887,24033266
rs397517977	215680377	single nucleotide variant	USH2A and 3 more	splice acceptor variant,	pathogenic				24033266
rs397517978	215680378	single nucleotide variant	USH2A and 2 more	splice acceptor variant,	pathogenic			C=6.61584e-05	18452394,18641288,22004887,24033266
rs2102713360	215728090	single nucleotide variant	USH2A and 1 more	,nonsense (stop gained),	pathogenic				
rs942584750	215728141	single nucleotide variant	USH2A and 1 more	,nonsense (stop gained),	pathogenic				
rs397517976	215728142	single nucleotide variant	USH2A and 1 more	,nonsense (stop gained),	pathogenic				24033266
rs2102713573	215728221	single nucleotide variant	USH2A and 1 more	,nonsense (stop gained),	pathogenic				
rs754104931	215728229	single nucleotide variant	USH2A and 1 more	,nonsense (stop gained),	pathogenic				
rs1659889270	215728231	single nucleotide variant	USH2A and 2 more	,missense variant,nonsense (stop gained),	pathogenic				
rs111033364	215728232	single nucleotide variant	USH2A and 2 more	,missense variant,nonsense (stop gained),	pathogenic			T=0.000107133	15015129,16963483,18273898,18463160,19683999,24033266,25741868,27460420
rs1431048303	215728265	single nucleotide variant	USH2A and 2 more	,missense variant,	pathogenic				
rs2102713705	215728290	single nucleotide variant	USH2A and 1 more	,missense variant,	pathogenic				
rs1659893150	215728326	single nucleotide variant	USH2A and 2 more	,missense variant,nonsense (stop gained),	pathogenic				
rs1157732943	215728340	single nucleotide variant	USH2A and 2 more	,missense variant,nonsense (stop gained),	pathogenic				
rs1358947010	215728342	single nucleotide variant	USH2A and 1 more	,nonsense (stop gained),	pathogenic				
rs368675850	215728383	single nucleotide variant	USH2A and 2 more	,missense variant,	pathogenic			A=3.39893e-05	
rs1325668081	215741377	single nucleotide variant	USH2A and 2 more	,nonsense (stop gained),synonymous variant,	pathogenic				
rs1553257498	215741386	single nucleotide variant	USH2A and 2 more	,nonsense (stop gained),synonymous variant,	pathogenic				
rs1386612395	215741387	single nucleotide variant	USH2A and 2 more	,missense variant,	pathogenic				
rs1660298900	215741426	single nucleotide variant	USH2A and 2 more	,missense variant,nonsense (stop gained),	pathogenic				
rs2465067612	215741447	single nucleotide variant	USH2A and 2 more	,missense variant,nonsense (stop gained),	pathogenic				
rs2465067786	215741530	single nucleotide variant	USH2A and 1 more	,nonsense (stop gained),	pathogenic				
rs878853407	215741538	single nucleotide variant	USH2A and 2 more	splice acceptor variant,	pathogenic				
rs1371160062	215743175	single nucleotide variant	USH2A and 1 more	splice donor variant,	pathogenic				
rs2465069905	215743192	single nucleotide variant	USH2A and 1 more	,nonsense (stop gained),	pathogenic				
rs2102727387	215743210	single nucleotide variant	USH2A and 1 more	,nonsense (stop gained),	pathogenic				
rs727505337	215743285	single nucleotide variant	USH2A and 1 more	,nonsense (stop gained),	pathogenic				24033266
rs2465070224	215743304	single nucleotide variant	USH2A and 2 more	,nonsense (stop gained),	pathogenic				
rs2465070247	215743309	single nucleotide variant	USH2A and 2 more	,missense variant,nonsense (stop gained),	pathogenic				
rs2102727580	215743336	single nucleotide variant	USH2A and 2 more	splice acceptor variant,	pathogenic				
rs753886165	215758592	single nucleotide variant	USH2A and 2 more	intron variant,	pathogenic			A=8.2481e-06	
rs1192810508	215758593	single nucleotide variant	USH2A and 3 more	splice donor variant,	pathogenic				
rs368770647	215758594	single nucleotide variant	USH2A and 3 more	splice donor variant,	pathogenic			A=1.64924e-05	
rs1660884486	215758623	single nucleotide variant	USH2A and 1 more	,nonsense (stop gained),	pathogenic				
rs749726310	215758656	single nucleotide variant	USH2A and 2 more	,nonsense (stop gained),	pathogenic			C=8.23954e-06	
rs2465089218	215758695	single nucleotide variant	USH2A and 2 more	,nonsense (stop gained),synonymous variant,	pathogenic				
rs777465132	215758743	single nucleotide variant	USH2A and 2 more	,nonsense (stop gained),synonymous variant,	pathogenic			T=1.6509e-05	
rs768062696	215758749	single nucleotide variant	USH2A and 2 more	,nonsense (stop gained),synonymous variant,	pathogenic				
rs2465090776	215759697	single nucleotide variant	USH2A and 1 more	,nonsense (stop gained),	pathogenic				
rs527236139	215759735	single nucleotide variant	USH2A and 2 more	,missense variant,	pathogenic				
rs771260365	215759745	single nucleotide variant	USH2A and 2 more	,missense variant,nonsense (stop gained),	pathogenic			T=8.2409e-06	
rs727504608	215759746	single nucleotide variant	USH2A and 1 more	,nonsense (stop gained),	pathogenic				24033266
rs764113446	215759762	single nucleotide variant	USH2A and 1 more	,missense variant,	pathogenic			T=8.24022e-06	
rs2102742278	215759785	single nucleotide variant	USH2A and 2 more	,missense variant,nonsense (stop gained),	pathogenic				
rs1057519193	215759786	single nucleotide variant	USH2A and 1 more	,nonsense (stop gained),	pathogenic				
rs143453173	215759788	single nucleotide variant	USH2A and 2 more	,nonsense (stop gained),synonymous variant,	pathogenic	G=0.000199681		G=5.76863e-05	
rs755804518	215759796	single nucleotide variant	USH2A and 3 more	,missense variant,nonsense (stop gained),	pathogenic			T=8.24117e-06	
rs41314534	215759826	single nucleotide variant	USH2A and 2 more	,missense variant,nonsense (stop gained),	pathogenic				
rs111033414	215759844	single nucleotide variant	USH2A and 2 more	splice acceptor variant,	pathogenic				24033266
rs200871041	215759845	single nucleotide variant	USH2A and 1 more	splice acceptor variant,	pathogenic			C=8.25682e-06	
rs201730567	215766680	single nucleotide variant	USH2A and 1 more	splice donor variant,	pathogenic				
rs150822759	215766729	single nucleotide variant	USH2A and 2 more	,missense variant,	pathogenic	G=0.000399361			23967202,25741868
rs1661140054	215766730	single nucleotide variant	USH2A and 2 more	,nonsense (stop gained),synonymous variant,	pathogenic				
rs1661141590	215766766	single nucleotide variant	USH2A and 2 more	,nonsense (stop gained),synonymous variant,	pathogenic				
rs1661573417	215779841	single nucleotide variant	USH2A and 2 more	splice donor variant,	pathogenic				
rs773462133	215779858	single nucleotide variant	USH2A and 3 more	,missense variant,nonsense (stop gained),	pathogenic			C=8.24008e-06	
rs2464383347	215779921	single nucleotide variant	USH2A and 1 more	,nonsense (stop gained),	pathogenic				
rs779716464	215779923	single nucleotide variant	USH2A and 1 more	,missense variant,	pathogenic			G=8.23791e-06	
rs2464383506	215779952	single nucleotide variant	USH2A and 1 more	,nonsense (stop gained),	pathogenic				
rs2102760660	215779953	single nucleotide variant	USH2A and 1 more	,nonsense (stop gained),	pathogenic				
rs1402464909	215779965	single nucleotide variant	USH2A and 1 more	,missense variant,	pathogenic				
rs111033418	215780023	single nucleotide variant	USH2A and 2 more	,missense variant,nonsense (stop gained),	pathogenic				24033266
rs1064795279	215780042	single nucleotide variant	USH2A and 2 more	splice acceptor variant,	pathogenic				
rs111033265	215782058	single nucleotide variant	USH2A and 3 more	,missense variant,	pathogenic			T=8.24022e-06	24033266
rs1259758261	215782061	single nucleotide variant	USH2A and 2 more	,missense variant,	pathogenic				
rs202175091	215782070	single nucleotide variant	USH2A and 2 more	,missense variant,	pathogenic			A=1.64813e-05	17085681,17405132,19683999,19737284,21569298,21909055,24033266
rs1046881798	215782080	single nucleotide variant	USH2A and 1 more	,nonsense (stop gained),	pathogenic				
rs2464391538	215782091	single nucleotide variant	USH2A and 1 more	,nonsense (stop gained),	pathogenic				
rs2464391547	215782093	single nucleotide variant	USH2A and 2 more	,nonsense (stop gained),synonymous variant,	pathogenic				
rs749702843	215782098	single nucleotide variant	USH2A and 1 more	,nonsense (stop gained),	pathogenic			A=4.12079e-05	
rs1661660762	215782116	single nucleotide variant	USH2A and 2 more	,missense variant,nonsense (stop gained),	pathogenic				
rs1553261372	215782146	single nucleotide variant	USH2A and 2 more	,missense variant,nonsense (stop gained),	pathogenic				
rs878853413	215782170	single nucleotide variant	USH2A and 1 more	,nonsense (stop gained),	pathogenic				
rs370327669	215782198	single nucleotide variant	USH2A and 1 more	splice acceptor variant,	pathogenic			C=8.28638e-06	
rs2102763350	215782735	single nucleotide variant	USH2A and 1 more	intron variant,	pathogenic				
rs111033439	215782738	single nucleotide variant	USH2A and 2 more	,missense variant,	pathogenic				24033266
rs773875669	215782747	single nucleotide variant	USH2A and 1 more	,nonsense (stop gained),	pathogenic			A=8.27719e-06	
rs111033264	215782762	single nucleotide variant	USH2A and 2 more	,missense variant,	pathogenic			G=1.65251e-05	18273898,20507924,22135276,23591405,24033266
rs527236119	215782779	single nucleotide variant	USH2A and 2 more	,missense variant,	pathogenic				
rs944675223	215782798	single nucleotide variant	USH2A and 1 more	,nonsense (stop gained),	pathogenic				
